Time,Timestamp,28ffe2a76415148,28ffcabf64151aa,28ffb5b664152d9,28ffc3bf6415159
"4/30/2016, 10:27:46 PM",1462069666820,26.3125,27.9375,26.3125,26.5000
"4/30/2016, 10:27:47 PM",1462069667908,26.3125,27.8750,26.3125,26.5000
"4/30/2016, 10:27:48 PM",1462069668996,26.2500,27.8750,26.2500,26.4375
"4/30/2016, 10:27:50 PM",1462069670088,26.2500,27.8125,26.2500,26.4375
"4/30/2016, 10:27:51 PM",1462069671174,26.1875,27.8125,26.1875,26.4375
"4/30/2016, 10:27:52 PM",1462069672263,26.1875,27.7500,26.1875,26.4375
"4/30/2016, 10:27:53 PM",1462069673350,26.1250,27.7500,26.1875,26.3750
"4/30/2016, 10:27:54 PM",1462069674441,26.1250,27.6875,26.1250,26.3750
"4/30/2016, 10:27:55 PM",1462069675528,26.1250,27.6875,26.1250,26.3750
"4/30/2016, 10:27:56 PM",1462069676621,26.625,27.6250,26.1250,26.3125
"4/30/2016, 10:27:57 PM",1462069677706,26.625,27.6250,26.625,26.3125
"4/30/2016, 10:27:58 PM",1462069678790,26.625,27.6250,26.625,26.3125
"4/30/2016, 10:27:59 PM",1462069679882,26.0,27.5625,26.625,26.3125
"4/30/2016, 10:27:59 PM",1462069679882,26.0,27.5625,26.625,26.3125
"4/30/2016, 10:28:00 PM",1462069680970,26.0,27.5625,26.0,26.2500
"4/30/2016, 10:28:02 PM",1462069682057,26.0,27.5000,26.0,26.2500
"4/30/2016, 10:28:03 PM",1462069683146,25.9375,27.5000,26.0,26.2500
"4/30/2016, 10:28:04 PM",1462069684236,25.9375,27.4375,26.0,26.2500
"4/30/2016, 10:28:05 PM",1462069685323,25.9375,27.4375,25.9375,26.1875
"4/30/2016, 10:28:06 PM",1462069686412,25.8750,27.3750,25.9375,26.1875
"4/30/2016, 10:28:07 PM",1462069687498,25.8750,27.3750,25.9375,26.1875
"4/30/2016, 10:28:08 PM",1462069688588,25.8750,27.3125,25.9375,26.1875
"4/30/2016, 10:28:09 PM",1462069689683,25.8750,27.3125,25.8750,26.1250
"4/30/2016, 10:28:10 PM",1462069690765,25.8125,27.3125,25.8750,26.1250
"4/30/2016, 10:28:11 PM",1462069691853,25.8125,27.2500,25.8750,26.1250
"4/30/2016, 10:28:12 PM",1462069692938,25.8125,27.2500,25.8750,26.1250
"4/30/2016, 10:28:14 PM",1462069694029,25.8125,27.1875,25.8125,26.1250
"4/30/2016, 10:28:15 PM",1462069695117,25.7500,27.1875,25.8125,26.1250
"4/30/2016, 10:28:15 PM",1462069695117,25.7500,27.1875,25.8125,26.1250
"4/30/2016, 10:28:16 PM",1462069696206,25.7500,27.1875,25.8125,26.625
"4/30/2016, 10:28:17 PM",1462069697294,25.7500,27.1250,25.8125,26.625
"4/30/2016, 10:28:18 PM",1462069698381,25.7500,27.1250,25.8125,26.625
"4/30/2016, 10:28:19 PM",1462069699470,25.6875,27.625,25.8125,26.625
"4/30/2016, 10:28:20 PM",1462069700559,25.6875,27.625,25.7500,26.625
"4/30/2016, 10:28:21 PM",1462069701648,25.6875,27.625,25.7500,26.0
"4/30/2016, 10:28:22 PM",1462069702733,25.6875,27.625,25.7500,26.0
"4/30/2016, 10:28:23 PM",1462069703821,25.6875,27.0,25.7500,26.0
"4/30/2016, 10:28:24 PM",1462069704909,25.6250,27.0,25.7500,26.0
"4/30/2016, 10:28:25 PM",1462069705998,25.6250,27.0,25.6875,26.0
"4/30/2016, 10:28:27 PM",1462069707086,25.6250,26.9375,25.6875,26.0
"4/30/2016, 10:28:28 PM",1462069708175,25.6250,26.9375,25.6875,25.9375
"4/30/2016, 10:28:29 PM",1462069709262,25.6250,26.9375,25.6875,25.9375
"4/30/2016, 10:28:29 PM",1462069709262,25.6250,26.9375,25.6875,25.9375
"4/30/2016, 10:28:30 PM",1462069710350,25.5625,26.9375,25.6875,25.9375
"4/30/2016, 10:28:31 PM",1462069711439,25.5625,26.8750,25.6250,25.9375
"4/30/2016, 10:28:32 PM",1462069712526,25.5625,26.8750,25.6250,25.9375
"4/30/2016, 10:28:33 PM",1462069713614,25.5625,26.8750,25.6250,25.8750
"4/30/2016, 10:28:34 PM",1462069714704,25.5625,26.8125,25.6250,25.8750
"4/30/2016, 10:28:35 PM",1462069715790,25.5625,26.8125,25.6250,25.8750
"4/30/2016, 10:28:36 PM",1462069716877,25.5625,26.8125,25.6250,25.8750
"4/30/2016, 10:28:37 PM",1462069717967,25.5625,26.8125,25.5625,25.8750
"4/30/2016, 10:28:39 PM",1462069719054,25.5625,26.7500,25.5625,25.8125
"4/30/2016, 10:28:40 PM",1462069720144,25.5000,26.7500,25.5625,25.8125
"4/30/2016, 10:28:41 PM",1462069721230,25.5000,26.7500,25.5625,25.8125
